"","x","y"
"1",93,56
"2",3,47
"3",7,56
"4",88,12
"5",41,69
"6",80,83
"7",34,61
"8",78,52
"9",37,81
"10",21,50
"11",29,67
"12",86,35
"13",92,7
"14",47,19
"15",56,61
"16",12,6
"17",40,83
"18",52,57
"19",58,41
"20",60,2
"21",43,49
"22",3,83
"23",18,43
"24",13,98
"25",79,89
"26",23,47
"27",54,58
"28",74,94
"29",18,37
"30",87,40
"31",69,77
"32",10,76
"33",43,12
"34",50,43
"35",3,11
"36",86,4
"37",20,55
"38",12,100
"39",32,22
"40",11,22
"41",25,54
"42",41,36
"43",40,89
"44",57,60
"45",10,80
"46",69,85
"47",61,70
"48",73,92
"49",88,58
"50",26,11
"51",75,92
"52",5,78
"53",61,37
"54",51,47
"55",45,26
"56",74,20
"57",14,79
"58",32,32
"59",47,92
"60",60,66
"61",54,59
"62",48,73
"63",99,13
"64",96,29
"65",80,71
"66",11,61
"67",82,80
"68",47,87
"69",62,64
"70",63,17
"71",51,92
"72",83,61
"73",59,85
"74",4,87
"75",96,51
"76",14,56
"77",21,31
"78",27,94
"79",84,34
"80",76,25
"81",93,70
"82",56,49
"83",14,84
"84",74,5
"85",40,40
"86",15,8
"87",3,49
"88",28,38
"89",54,3
"90",47,35
"91",37,17
"92",90,53
"93",52,76
"94",97,40
"95",85,94
"96",51,74
"97",41,72
"98",82,53
"99",8,42
"100",6,52
