"","x","y"
"1",44,40
"2",21,89
"3",54,30
"4",83,6
"5",79,11
"6",14,23
"7",68,73
"8",76,27
"9",88,100
"10",45,45
"11",99,26
"12",73,30
"13",86,23
"14",46,14
"15",50,31
"16",47,24
"17",35,51
"18",13,44
"19",6,72
"20",28,29
"21",25,99
"22",31,59
"23",80,80
"24",89,82
"25",71,43
"26",49,16
"27",26,84
"28",31,20
"29",54,94
"30",45,60
"31",78,18
"32",73,65
"33",50,54
"34",15,20
"35",83,52
"36",59,66
"37",82,41
"38",29,53
"39",83,39
"40",33,25
"41",32,23
"42",79,90
"43",59,85
"44",78,66
"45",88,67
"46",85,85
"47",77,50
"48",42,44
"49",46,82
"50",98,3
"51",82,46
"52",60,1
"53",74,73
"54",76,7
"55",7,80
"56",27,83
"57",36,82
"58",22,66
"59",2,37
"60",78,92
"61",83,26
"62",17,42
"63",13,70
"64",65,63
"65",42,26
"66",99,36
"67",56,71
"68",23,44
"69",57,21
"70",53,2
"71",5,81
"72",12,98
"73",28,45
"74",74,58
"75",43,75
"76",66,12
"77",42,75
"78",64,31
"79",50,88
"80",3,15
"81",17,67
"82",32,56
"83",99,39
"84",2,66
"85",84,31
"86",20,61
"87",94,18
"88",10,90
"89",33,19
"90",4,31
"91",41,69
"92",28,64
"93",22,83
"94",74,60
"95",94,29
"96",96,92
"97",21,12
"98",92,99
"99",97,46
"100",91,81
