"","x","y"
"1",15,9
"2",28,89
"3",27,7
"4",33,7
"5",31,18
"6",42,72
"7",3,10
"8",27,3
"9",27,11
"10",59,88
"11",53,90
"12",94,51
"13",45,14
"14",95,34
"15",80,49
"16",26,3
"17",53,61
"18",58,55
"19",68,13
"20",55,24
"21",91,59
"22",60,74
"23",56,63
"24",71,38
"25",62,60
"26",21,49
"27",6,5
"28",76,15
"29",93,96
"30",58,54
"31",16,34
"32",25,58
"33",43,68
"34",48,47
"35",83,37
"36",85,92
"37",42,60
"38",21,20
"39",26,45
"40",24,95
"41",25,5
"42",70,21
"43",44,20
"44",17,12
"45",38,97
"46",71,68
"47",1,23
"48",35,24
"49",15,51
"50",62,8
"51",44,64
"52",30,53
"53",50,70
"54",74,89
"55",17,73
"56",27,64
"57",86,41
"58",81,74
"59",42,23
"60",9,79
"61",43,62
"62",70,22
"63",76,5
"64",5,38
"65",81,39
"66",54,40
"67",45,22
"68",14,30
"69",47,45
"70",88,31
"71",76,8
"72",7,90
"73",54,21
"74",11,68
"75",90,47
"76",75,70
"77",74,80
"78",88,56
"79",3,25
"80",55,22
"81",39,98
"82",72,53
"83",12,38
"84",35,51
"85",61,28
"86",58,80
"87",26,59
"88",11,43
"89",79,30
"90",23,59
"91",9,6
"92",14,31
"93",16,15
"94",18,73
"95",99,35
"96",70,90
"97",21,83
"98",13,4
"99",11,57
"100",59,19
