"","x","y"
"1",89,63
"2",97,33
"3",54,54
"4",91,30
"5",72,80
"6",38,50
"7",49,84
"8",7,40
"9",93,3
"10",70,86
"11",76,11
"12",61,51
"13",17,84
"14",65,48
"15",19,58
"16",89,53
"17",12,96
"18",17,57
"19",100,14
"20",16,86
"21",11,9
"22",69,86
"23",18,19
"24",88,9
"25",58,64
"26",82,31
"27",29,74
"28",2,81
"29",86,19
"30",42,7
"31",96,17
"32",8,73
"33",40,53
"34",48,47
"35",66,11
"36",93,24
"37",19,71
"38",63,16
"39",77,75
"40",4,63
"41",19,95
"42",59,65
"43",20,85
"44",4,87
"45",12,26
"46",38,74
"47",21,75
"48",7,18
"49",56,73
"50",4,38
"51",92,2
"52",86,98
"53",54,98
"54",82,49
"55",66,79
"56",54,21
"57",92,23
"58",50,34
"59",94,47
"60",98,72
"61",92,75
"62",83,23
"63",55,80
"64",84,8
"65",20,72
"66",8,92
"67",32,36
"68",16,46
"69",77,66
"70",35,29
"71",77,84
"72",6,22
"73",15,49
"74",54,40
"75",37,38
"76",73,23
"77",26,93
"78",84,25
"79",52,56
"80",98,70
"81",27,6
"82",94,33
"83",79,14
"84",43,5
"85",58,44
"86",28,63
"87",31,96
"88",6,61
"89",29,45
"90",91,52
"91",27,58
"92",1,78
"93",77,11
"94",8,44
"95",45,66
"96",24,71
"97",57,80
"98",9,77
"99",42,27
"100",18,28
