"","x","y"
"1",61,82
"2",24,21
"3",16,65
"4",53,1
"5",12,76
"6",95,57
"7",33,11
"8",39,90
"9",13,91
"10",81,68
"11",53,62
"12",77,81
"13",82,29
"14",78,16
"15",1,39
"16",24,37
"17",54,30
"18",19,57
"19",93,37
"20",96,95
"21",91,74
"22",52,88
"23",59,10
"24",20,58
"25",83,64
"26",88,40
"27",34,76
"28",71,75
"29",76,84
"30",12,44
"31",56,9
"32",74,20
"33",79,97
"34",99,37
"35",71,12
"36",66,67
"37",36,81
"38",94,14
"39",86,18
"40",29,98
"41",23,31
"42",43,27
"43",57,24
"44",71,99
"45",97,89
"46",13,79
"47",61,92
"48",96,67
"49",13,83
"50",9,87
"51",58,8
"52",45,47
"53",77,50
"54",98,28
"55",45,87
"56",39,42
"57",20,59
"58",88,50
"59",51,10
"60",92,74
"61",55,90
"62",35,85
"63",28,97
"64",96,60
"65",22,82
"66",29,83
"67",92,43
"68",35,49
"69",28,17
"70",71,50
"71",51,91
"72",97,99
"73",27,71
"74",84,62
"75",99,40
"76",81,52
"77",83,53
"78",77,36
"79",48,29
"80",72,57
"81",86,99
"82",51,6
"83",10,100
"84",74,17
"85",38,45
"86",5,17
"87",1,34
"88",55,53
"89",21,6
"90",90,73
"91",21,17
"92",5,34
"93",87,42
"94",57,97
"95",74,80
"96",63,76
"97",39,31
"98",54,50
"99",46,71
"100",48,4
