"","x","y"
"1",44,61
"2",81,31
"3",48,37
"4",29,88
"5",96,32
"6",15,11
"7",77,90
"8",12,63
"9",89,97
"10",70,49
"11",72,50
"12",98,81
"13",46,58
"14",84,98
"15",47,19
"16",8,70
"17",84,83
"18",52,81
"19",5,34
"20",2,72
"21",26,21
"22",24,60
"23",69,39
"24",62,41
"25",72,71
"26",80,58
"27",51,100
"28",59,57
"29",80,5
"30",50,65
"31",70,81
"32",61,79
"33",45,28
"34",94,15
"35",44,71
"36",50,87
"37",58,62
"38",44,32
"39",10,70
"40",30,20
"41",65,8
"42",100,91
"43",80,53
"44",51,57
"45",10,34
"46",10,33
"47",34,48
"48",45,72
"49",32,20
"50",31,91
"51",6,49
"52",73,43
"53",14,48
"54",89,84
"55",61,82
"56",53,23
"57",15,78
"58",41,29
"59",80,40
"60",63,54
"61",26,94
"62",78,25
"63",70,99
"64",42,72
"65",49,24
"66",4,24
"67",43,94
"68",4,95
"69",1,89
"70",74,39
"71",51,22
"72",68,59
"73",2,29
"74",25,98
"75",56,59
"76",16,5
"77",60,58
"78",8,55
"79",35,15
"80",28,53
"81",98,92
"82",35,76
"83",21,37
"84",27,53
"85",60,39
"86",90,45
"87",26,9
"88",52,6
"89",7,91
"90",83,25
"91",86,16
"92",64,35
"93",46,99
"94",8,66
"95",27,88
"96",75,91
"97",71,39
"98",89,53
"99",36,5
"100",95,49
