"","x","y"
"1",3,96
"2",49,34
"3",26,53
"4",15,12
"5",57,18
"6",77,91
"7",78,5
"8",83,75
"9",33,46
"10",7,20
"11",86,95
"12",42,84
"13",6,12
"14",24,49
"15",72,39
"16",92,19
"17",47,48
"18",69,96
"19",32,84
"20",6,94
"21",52,7
"22",94,94
"23",21,74
"24",87,53
"25",31,1
"26",79,46
"27",30,16
"28",78,68
"29",64,43
"30",88,48
"31",93,84
"32",92,30
"33",23,50
"34",40,2
"35",96,7
"36",18,39
"37",65,82
"38",95,61
"39",52,91
"40",27,56
"41",40,9
"42",75,43
"43",18,99
"44",5,37
"45",11,35
"46",90,35
"47",57,2
"48",32,96
"49",46,34
"50",93,37
"51",39,7
"52",32,12
"53",15,55
"54",91,95
"55",76,13
"56",2,66
"57",59,63
"58",50,88
"59",40,76
"60",18,9
"61",15,45
"62",75,35
"63",18,59
"64",9,44
"65",85,31
"66",55,57
"67",80,54
"68",58,9
"69",45,13
"70",74,8
"71",13,40
"72",27,91
"73",5,27
"74",16,72
"75",26,27
"76",64,52
"77",38,45
"78",84,23
"79",56,45
"80",89,82
"81",26,64
"82",33,10
"83",3,91
"84",4,11
"85",64,86
"86",26,71
"87",96,57
"88",7,65
"89",92,55
"90",21,82
"91",59,66
"92",16,36
"93",3,61
"94",22,66
"95",77,12
"96",46,74
"97",6,72
"98",88,25
"99",70,61
"100",23,32
