"","x","y"
"1",92,79
"2",31,54
"3",10,89
"4",85,77
"5",69,69
"6",39,27
"7",2,25
"8",69,34
"9",79,86
"10",90,75
"11",89,25
"12",55,77
"13",95,5
"14",3,99
"15",43,30
"16",4,93
"17",37,4
"18",1,80
"19",80,32
"20",93,47
"21",10,76
"22",15,63
"23",77,98
"24",96,70
"25",51,99
"26",57,30
"27",49,48
"28",78,61
"29",85,32
"30",54,44
"31",94,71
"32",23,51
"33",54,74
"34",31,56
"35",97,25
"36",90,9
"37",53,15
"38",40,55
"39",71,75
"40",19,87
"41",61,29
"42",97,9
"43",89,58
"44",74,33
"45",13,65
"46",60,91
"47",92,2
"48",84,13
"49",76,28
"50",3,11
"51",61,30
"52",15,85
"53",18,69
"54",14,77
"55",14,61
"56",67,55
"57",8,27
"58",69,73
"59",34,24
"60",11,63
"61",29,5
"62",69,35
"63",17,23
"64",54,57
"65",90,81
"66",27,51
"67",71,66
"68",7,35
"69",71,20
"70",73,28
"71",77,4
"72",33,97
"73",55,84
"74",41,67
"75",68,20
"76",67,58
"77",31,8
"78",5,83
"79",96,50
"80",3,40
"81",4,7
"82",35,63
"83",93,4
"84",64,100
"85",42,19
"86",99,29
"87",97,93
"88",98,95
"89",64,58
"90",80,3
"91",43,79
"92",3,37
"93",96,59
"94",77,20
"95",86,80
"96",99,20
"97",85,89
"98",51,48
"99",57,21
"100",50,80
