"","x","y"
"1",28,30
"2",73,42
"3",83,33
"4",100,94
"5",34,98
"6",51,25
"7",76,66
"8",15,27
"9",97,76
"10",86,20
"11",61,7
"12",30,84
"13",48,94
"14",65,75
"15",12,16
"16",99,67
"17",30,53
"18",78,86
"19",63,59
"20",15,30
"21",2,51
"22",79,93
"23",7,63
"24",48,53
"25",8,33
"26",6,14
"27",29,4
"28",73,55
"29",65,37
"30",91,11
"31",52,95
"32",47,79
"33",24,55
"34",21,16
"35",85,47
"36",47,50
"37",62,33
"38",99,87
"39",21,34
"40",6,87
"41",87,95
"42",67,16
"43",2,20
"44",24,37
"45",41,29
"46",60,72
"47",92,83
"48",80,73
"49",47,48
"50",73,76
"51",4,42
"52",86,40
"53",100,29
"54",57,79
"55",13,83
"56",36,54
"57",28,64
"58",79,56
"59",30,2
"60",69,35
"61",89,60
"62",22,43
"63",47,88
"64",62,73
"65",98,56
"66",9,60
"67",19,42
"68",45,62
"69",71,94
"70",86,56
"71",35,11
"72",61,22
"73",69,19
"74",90,32
"75",13,23
"76",11,83
"77",67,22
"78",27,26
"79",67,7
"80",65,23
"81",40,39
"82",10,41
"83",66,9
"84",43,73
"85",52,79
"86",72,5
"87",75,7
"88",50,51
"89",91,66
"90",65,14
"91",84,8
"92",2,2
"93",49,65
"94",32,34
"95",67,56
"96",15,9
"97",23,19
"98",70,89
"99",98,80
"100",60,31
