"","x","y"
"1",89,66
"2",41,2
"3",40,78
"4",49,48
"5",66,74
"6",94,21
"7",78,84
"8",93,40
"9",61,63
"10",20,29
"11",78,16
"12",62,77
"13",10,37
"14",88,50
"15",57,46
"16",32,25
"17",43,90
"18",16,68
"19",38,64
"20",13,67
"21",56,54
"22",16,7
"23",62,68
"24",6,68
"25",9,69
"26",64,31
"27",20,64
"28",3,23
"29",23,23
"30",75,4
"31",52,83
"32",60,69
"33",78,95
"34",55,14
"35",54,22
"36",3,33
"37",42,14
"38",13,51
"39",46,14
"40",16,28
"41",54,3
"42",61,3
"43",24,94
"44",68,13
"45",10,69
"46",98,90
"47",81,54
"48",85,4
"49",56,35
"50",44,64
"51",36,69
"52",9,27
"53",15,6
"54",4,85
"55",30,44
"56",15,97
"57",3,35
"58",31,99
"59",80,10
"60",35,63
"61",54,71
"62",71,78
"63",86,96
"64",45,100
"65",37,8
"66",46,56
"67",22,2
"68",18,32
"69",23,30
"70",83,72
"71",75,79
"72",46,99
"73",36,19
"74",36,71
"75",95,55
"76",3,40
"77",60,99
"78",98,55
"79",25,83
"80",37,42
"81",79,79
"82",74,8
"83",67,23
"84",79,4
"85",66,28
"86",74,6
"87",28,74
"88",66,93
"89",48,72
"90",37,20
"91",74,66
"92",68,80
"93",6,5
"94",48,22
"95",87,92
"96",25,4
"97",62,15
"98",75,52
"99",40,90
"100",99,38
