"","x","y"
"1",61,3
"2",81,55
"3",20,82
"4",16,45
"5",41,56
"6",46,37
"7",76,46
"8",72,24
"9",18,48
"10",54,91
"11",60,59
"12",20,23
"13",39,27
"14",51,58
"15",62,62
"16",99,79
"17",88,55
"18",94,58
"19",83,51
"20",91,30
"21",51,39
"22",11,46
"23",94,42
"24",19,57
"25",91,33
"26",32,17
"27",86,10
"28",33,49
"29",12,16
"30",86,94
"31",19,83
"32",8,77
"33",4,31
"34",43,3
"35",30,24
"36",43,38
"37",92,37
"38",32,92
"39",95,57
"40",96,80
"41",78,55
"42",80,38
"43",25,48
"44",36,35
"45",93,60
"46",36,47
"47",97,2
"48",99,30
"49",15,32
"50",83,89
"51",94,87
"52",99,68
"53",71,53
"54",10,83
"55",34,27
"56",4,87
"57",9,97
"58",72,56
"59",96,33
"60",22,49
"61",86,23
"62",24,45
"63",100,45
"64",5,35
"65",81,53
"66",57,73
"67",40,16
"68",60,25
"69",78,58
"70",32,35
"71",93,77
"72",34,78
"73",33,93
"74",53,4
"75",11,44
"76",75,93
"77",68,91
"78",45,38
"79",97,34
"80",33,54
"81",92,80
"82",48,31
"83",7,27
"84",41,82
"85",82,40
"86",83,4
"87",19,70
"88",10,34
"89",18,50
"90",53,85
"91",3,52
"92",63,44
"93",14,49
"94",92,65
"95",75,62
"96",55,17
"97",84,91
"98",13,77
"99",72,61
"100",12,23
