"","x","y"
"1",60,1
"2",87,42
"3",56,41
"4",41,5
"5",53,40
"6",4,80
"7",7,6
"8",13,42
"9",7,78
"10",26,92
"11",88,49
"12",24,74
"13",96,9
"14",44,29
"15",40,41
"16",40,12
"17",14,69
"18",8,90
"19",36,95
"20",52,94
"21",78,30
"22",55,58
"23",97,86
"24",63,18
"25",82,63
"26",87,53
"27",46,82
"28",82,33
"29",28,72
"30",53,22
"31",78,8
"32",74,47
"33",28,9
"34",84,63
"35",93,74
"36",96,31
"37",87,87
"38",45,32
"39",49,84
"40",89,40
"41",7,9
"42",54,45
"43",76,60
"44",11,12
"45",98,73
"46",88,89
"47",73,91
"48",49,73
"49",74,43
"50",72,29
"51",82,53
"52",27,27
"53",80,89
"54",67,27
"55",14,61
"56",47,47
"57",32,37
"58",87,85
"59",52,98
"60",68,10
"61",2,98
"62",64,93
"63",15,33
"64",14,25
"65",61,99
"66",75,95
"67",49,46
"68",13,65
"69",95,57
"70",26,27
"71",34,5
"72",66,33
"73",12,74
"74",50,2
"75",45,5
"76",60,3
"77",21,35
"78",36,66
"79",39,14
"80",17,8
"81",59,24
"82",100,34
"83",14,3
"84",15,69
"85",71,11
"86",41,50
"87",64,84
"88",12,64
"89",63,50
"90",23,18
"91",25,78
"92",68,69
"93",37,91
"94",97,13
"95",93,9
"96",77,91
"97",42,87
"98",86,4
"99",91,31
"100",98,87
