"","x","y"
"1",12,31
"2",34,37
"3",95,53
"4",59,36
"5",48,80
"6",13,50
"7",3,15
"8",79,29
"9",81,8
"10",68,56
"11",30,84
"12",84,95
"13",30,8
"14",91,15
"15",63,44
"16",13,9
"17",38,16
"18",40,68
"19",77,63
"20",8,55
"21",61,30
"22",68,23
"23",16,59
"24",14,33
"25",100,54
"26",73,46
"27",2,9
"28",11,93
"29",68,53
"30",12,94
"31",1,21
"32",9,86
"33",79,3
"34",10,93
"35",68,70
"36",98,20
"37",70,56
"38",37,82
"39",33,5
"40",59,47
"41",69,65
"42",18,1
"43",93,41
"44",43,7
"45",27,76
"46",60,5
"47",57,12
"48",75,19
"49",26,26
"50",62,25
"51",38,81
"52",54,5
"53",91,46
"54",57,69
"55",73,36
"56",10,33
"57",74,66
"58",71,25
"59",62,10
"60",55,46
"61",60,3
"62",83,79
"63",29,2
"64",69,47
"65",22,86
"66",20,72
"67",98,11
"68",99,48
"69",24,77
"70",74,56
"71",74,72
"72",64,96
"73",76,71
"74",54,76
"75",93,10
"76",58,32
"77",46,76
"78",4,64
"79",64,31
"80",49,72
"81",14,36
"82",43,54
"83",88,88
"84",17,40
"85",91,25
"86",39,70
"87",77,67
"88",25,91
"89",28,50
"90",18,73
"91",61,41
"92",61,83
"93",33,95
"94",90,37
"95",60,63
"96",6,80
"97",34,87
"98",38,28
"99",81,72
"100",7,35
